k,mag_rect,mag_hann
0,3.992224,0.787802
1,4.768133,3.137013
2,11.234895,13.242323
3,9.343534,13.317712
4,2.696554,3.007223
5,1.444447,0.397724
6,0.944233,0.125344
7,0.686336,0.053566
8,0.534511,0.026927
9,0.437690,0.014963
10,0.372762,0.008877
11,0.327930,0.005489
12,0.296657,0.003460
13,0.275125,0.002163
14,0.261046,0.001271
15,0.253071,0.000605
16,0.250487,0.000163
17,0.253071,0.000605
18,0.261046,0.001271
19,0.275125,0.002163
20,0.296657,0.003460
21,0.327930,0.005489
22,0.372762,0.008877
23,0.437690,0.014963
24,0.534511,0.026927
25,0.686336,0.053566
26,0.944233,0.125344
27,1.444447,0.397724
28,2.696554,3.007223
29,9.343534,13.317712
30,11.234895,13.242323
31,4.768133,3.137013
